,Name,SafetyGrade,ZIP,Latitude,Longitude,Distance,Address
16,Flowers Hospital,B,36305,31.2379068,-85.456757,5949.7908479692,"4370 W. Main Street, Dothan, AL 36305-4000"
17,Gadsden Regional Medical Center,B,35903,34.0077928,-85.9658747,5987.1135347824,"1007 Goodyear Avenue, Gadsden, AL 35903-1195"
18,Madison Hospital,B,35758,34.747074,-86.7649399,6034.4786634213,"8375 Highway 72 W, Madison, AL 35758"
19,North Baldwin Infirmary,B,36507,30.9039384,-87.7850231,6086.8019976969,"1815 Hand Avenue, Bay Minette, AL 36507-4110"
20,Northwest Medical Center,B,35594,33.930952,-87.824744,6093.4133883659,"1530 US Highway 43, Winfield, AL 35594-5056"
21,Springhill Medical Center,B,36608,30.6854594,-88.1316966,6107.0977422878,"3719 Dauphin Street, Mobile, AL 36608"
22,St. Vincent's Birmingham,B,35205,33.5071812,-86.7889111,6033.1438691791,"810 St. Vincent's Drive, Birmingham, AL 35205-1695"
23,Thomas Hospital,B,36532,30.5199796,-87.8882023,6092.417942621,"750 Morphy Avenue, Fairhope, AL 36532-1812"
24,Andalusia Health,C,36420,31.2994329,-86.4925119,6011.070676873,"849 S. Three Notch Street, Andalusia, AL 36420-5325"
25,Athens-Limestone Hospital,C,35611,34.8042607,-86.979177,6046.7537899995,"700 W. Market Street, Athens, AL 35611-2457"
26,Atmore Community Hospital,C,36502,31.016364,-87.479345,6068.8609676712,"401 Medical Park Drive, Atmore, AL 36502-3091"
27,Brookwood Baptist Medical Center,C,35209,33.4642365,-86.7764088,6032.331823743,"2010 Brookwood Medical Center Drive, Birmingham, AL 35209-6875"
28,Citizens Baptist Medical Center,C,35160,33.439795,-86.0921538,5992.8532347626,"604 Stone Avenue, Talladega, AL 35160-2217"
29,Crestwood Medical Center,C,35801,34.6935826,-86.572207,6023.4173025458,"One Hospital Drive, Huntsville, AL 35801-3403"
30,Cullman Regional Medical Center,C,35058,34.207676,-86.8748921,6039.5662341126,"1912 Alabama Highway 157, Cullman, AL 35058"
31,D. W. McMillan Memorial Hospital,C,36426,31.125938,-87.0717594,6044.9342570056,"1301 Belleville Avenue, Brewton, AL 36426-1306"
32,Dale Medical Center,C,36360,31.451328,-85.632075,5960.7244488613,"126 Hospital Avenue, Ozark, AL 36360-2080"
33,DeKalb Regional Medical Center,C,35968,34.438606,-85.7556718,5976.3257166023,"200 Medical Center Drive, Fort Payne, AL 35968-3415"
34,East Alabama Medical Center,C,36801,32.6401629,-85.4037506,5950.7787106797,"2000 Pepperell Parkway, Opelika, AL 36801"
35,Helen Keller Hospital,C,35660,34.7464826,-87.6989299,6087.4796520807,"1300 S. Montgomery Avenue, Sheffield, AL 35660-6334"
36,Highlands Medical Center,C,35768,34.6617313,-86.0466607,5993.4966157714,"380 Woods Cove Road, Scottsboro, AL 35768-2428"
37,Huntsville Hospital,C,35801,34.721046,-86.581799,6024.0263667391,"101 Sivley Road, Huntsville, AL 35801-4470"
38,Jack Hughston Memorial Hospital,C,36867,32.5080845,-85.0086714,5927.3883108374,"4401 Riverchase Drive, Phenix City, AL 36867"
39,Jackson Hospital,C,36106,32.3670831,-86.2853492,6001.3718726613,"1725 Pine Street, Montgomery, AL 36106-1117"
40,Medical Center Barbour,C,36027,31.8887,-85.1562,5934.0444831542,"820 W. Washington Street, Eufaula, AL 36027-1899"
41,Medical Center Enterprise,C,36330,31.318647,-85.855114,5973.5146464085,"400 N. Edwards Street, Enterprise, AL 36330-2584"
42,"Medical West Hospital Authority, an Affiliate of UAB Health System",C,35022,33.3731473,-86.9916643,6044.550829788,"995 9th Avenue SW, Bessemer, AL 35022-4527"
43,Mobile Infirmary Medical Center,C,36607,30.6963935,-88.0798395,6104.0299571276,"5 Mobile Infirmary Circle, Mobile, AL 36607-3513"
44,North Alabama Medical Center,C,35630,34.8043939,-87.6509453,6084.8498840268,"1701 Veterans Drive, Florence, AL 35630-4928"
45,Prattville Baptist Hospital,C,36067,32.464172,-86.451767,6011.3005717599,"124 S. Memorial Drive, Prattville, AL 36067-3619"
46,Princeton Baptist Medical Center,C,35211,33.4984021,-86.8470166,6036.4712240342,"701 Princeton Avenue SW, Birmingham, AL 35211-1305"
47,Riverview Regional Medical Center,C,35901,34.004403,-86.003626,5989.2648547245,"600 So. Third Street, Gadsden, AL 35901-5399"
48,RMC Anniston,C,36207,33.6563953,-85.8228352,5977.941436348,"400 East 10th Street, Anniston, AL 36207"
49,Russell Medical Center,C,35010,32.9212543,-85.9567325,5983.6666025392,"3316 Highway 280, Alexander City, AL 35010-3369"
50,Shelby Baptist Medical Center,C,35007,33.2524436,-86.8135545,6034.0240375944,"1000 First Street N., Alabaster, AL 35007-0488"
51,St. Vincent's East,C,35235,33.596457,-86.6676502,6026.3600920742,"50 Medical Park E. Drive, Birmingham, AL 35235-9987"
52,St. Vincent's St. Clair,C,35125,33.6043127,-86.3018159,6005.3382978677,"7063 Veterans Parkway, Pell City, AL 35125"
53,Stringfellow Memorial Hospital,C,36207,33.6677024,-85.8250278,5978.0990100316,"301 E. 18th Street, Anniston, AL 36207-0038"
54,UAB Highlands,C,35205,33.4950136,-86.8062318,6034.1153322291,"1201 11th Avenue S., Birmingham, AL 35205"
55,University Hospital,C,36617,30.7209797,-88.1021185,6105.382088301,"2451 University Hospital Drive, Mobile, AL 36617-2293"
56,University of Alabama Hospital,C,35233,33.5066461,-86.8030955,6033.9594803705,"1802 6th Ave South, Birmingham, AL 35233"
57,Vaughan Regional Medical Center,C,36701,32.429449,-87.0560426,6046.443153301,"1015 Medical Center Parkway, Selma, AL 36701-6352"
58,Walker Baptist Medical,C,35502,33.841043,-87.2365408,6059.5375026698,"3400 Highway 78 E., Jasper, AL 35502-8956"
59,Whitfield Regional Hospital,C,36732,32.3507509,-88.7433797,6144.7572607715,"105 Highway 80 E., Demopolis, AL 36732-3616"
60,Baptist Medical Center East,D,36117,32.387975,-86.1758784,5995.0392111191,"400 Taylor Road, Montgomery, AL 36117-3512"
61,Baptist Medical Center South,D,36116,32.3269463,-86.2710335,6000.4403318308,"2105 E. South Boulevard, Montgomery, AL 36116-2498"
62,DCH Regional Medical Center,D,35401,33.2053981,-87.5264812,6075.1229606919,"809 University Boulevard E., Tuscaloosa, AL 35401-9961"
63,Decatur Morgan Hospital - Decatur Campus,D,35601,34.5904135,-86.972417,6045.9258403894,"1201 7th Street SE, Decatur, AL 35601-3303"
64,Decatur Morgan Hospital-Parkway Campus,D,35601,34.5771378,-87.0158033,6048.3653007676,"1874 Beltline Road SW, Decatur, AL 35601-5509"
65,Marshall Medical Center North,D,35976,34.366053,-86.421267,6014.0464387227,"8000 Alabama Highway 69, Guntersville, AL 35976"
66,Marshall Medical Center South,D,35957,34.22159,-86.160495,5998.8073620779,"2505 US Highway 431, Boaz, AL 35957"
67,Northport Medical Center,D,35476,33.23361,-87.571248,6077.7554311104,"2700 Hospital Drive, Northport, AL 35476"
68,Shoals Hospital,F,35661,34.7449732,-87.6756154,6086.1540264496,"201 Avalon Avenue, Muscle Shoals, AL 35661-2805"
69,Clay County Hospital,G,36251,33.2773548,-85.8242805,5976.970980509,"83825 Highway 9, Ashland, AL 36251"
70,Community Hospital,G,36078,32.534053,-85.912363,5980.0624649192,"805 Friendship Road, Tallassee, AL 36078-1234"
71,Lakeland Community Hospital,G,35565,34.2419558,-87.5914018,6080.5468454834,"42024 Highway 195, Haleyville, AL 35565-9536"
72,Regional Medical Center of Central Alabama,G,36037,31.8290939,-86.64627,6021.2653619982,"29 LV Stabler Drive, Greenville, AL 36037-3800"
73,Russellville Hospital,G,35653,34.5107726,-87.7183471,6088.2130579164,"15155 Highway 43, Russellville, AL 35653-1975"
74,St Vincent's Chilton,G,35045,32.8802913,-86.622606,6022.16950655,"2030 Lay Dam Road, Clanton, AL 35045"
75,Wiregrass Medical Center,G,36340,31.0481117,-85.8905067,5974.9073027933,"1200 W. Maple Avenue, Geneva, AL 36340-1694"
76,CHI St. Vincent Hot Springs,A,71913,34.4681702,-93.0663135,6392.7323614746,"300 Werner Street, Hot Springs, AR 71913-9937"
77,Mercy Hospital Fort Smith,A,72903,35.3557971,-94.3526657,6463.2850728562,"7301 Rogers Avenue, Fort Smith, AR 72903-4189"
78,Mercy Hospital Northwest Arkansas,A,72758,36.3100716,-94.184714,6451.0086913836,"2710 Rife Medical Lane, Rogers, AR 72758"
79,NEA Baptist Memorial Hospital,A,72405,35.8668678,-90.6367043,6253.7483090543,"4800 East Johnson Avenue, Jonesboro, AR 72405-8413"
80,Northwest Medical Center Bentonville,A,72712,36.3401242,-94.1914598,6451.2938543838,"3000 Medical Center Parkway, Bentonville, AR 72712"
81,Northwest Medical Center Springdale,A,72764,36.1808233,-94.1364357,6448.7047951799,"609 West Maple Avenue, Springdale, AR 72764"
82,Siloam Springs Regional Hospital,A,72761,36.1899429,-94.5077653,6469.3626743916,"603 N Progress, Siloam Springs, AR 72761"
83,St. Bernards Medical Center,A,72401,35.8383772,-90.704126,6257.5372757126,"225 East Washington Avenue, Jonesboro, AR 72401"
84,Washington Regional Medical Center,A,72703,36.0800001,-94.1535416,6449.9558570048,"3215 N. North Hills Boulevard, Fayetteville, AR 72703-1994"
85,Baptist Health Medical Center - Conway,B,72032,35.0564394,-92.4192706,6354.9112144061,"1555 Exchange Avenue, Conway, AR 72032-7824"
86,Baptist Health Medical Center-Little Rock,B,72205,34.7444214,-92.3810554,6353.263255418,"9601 Baptist Health Drive, Little Rock, AR 72205-6323"
87,Baxter Regional Medical Center,B,72653,36.3429502,-92.3944185,6351.337936849,"624 Hospital Drive, Mountain Home, AR 72653-2955"
88,Medical Center of South Arkansas,B,71730,33.2183925,-92.6722845,6372.5409589045,"700 West Grove Street, El Dorado, AR 71730-4416"
89,Saint Mary's Regional Medical Center,B,72801,35.28319,-93.149218,6395.681805856,"1808 West Main Street, Russellville, AR 72801-2724"
90,Saline Memorial Hospital,B,72015,34.572905,-92.585083,6365.1468108019,"1 Medical Park Drive, Benton, AR 72015"
91,Baptist Health Medical Center - North Little Rock,C,72117,34.7837697,-92.2220519,6344.1786361663,"3333 Springhill Drive, North Little Rock, AR 72117-2922"
92,Conway Regional Medical Center,C,72034,35.0859847,-92.4576613,6357.0314686825,"2302 College Avenue, Conway, AR 72034"
93,Drew Memorial Health System,C,71655,33.6088487,-91.8150398,6322.5331676882,"778 Scogin Drive, Monticello, AR 71655-5728"
94,Great River Medical Center,C,72315,35.942244,-89.9188352,6213.559975035,"1520 North Division Street, Blytheville, AR 72315-1448"
95,Jefferson Regional Medical Center,C,71603,34.189055,-92.0181788,6333.4322208557,"1600 West 40th Avenue, Pine Bluff, AR 71603-7089"
96,Johnson Regional Medical Center,C,72830,35.4643692,-93.4449512,6411.9155614891,"1100 East Poplar Street, Clarksville, AR 72830-4419"
97,National Park Medical Center,C,71901,34.486004,-93.035211,6390.9245827183,"1910 Malvern Avenue, Hot Springs, AR 71901-7799"
98,Ouachita County Medical Center,C,71701,33.5758644,-92.8362602,6381.3421875048,"638 California Avenue SW, Camden, AR 71701-4699"
99,UAMS Medical Center,C,72205,34.7492719,-92.3198281,6349.7805097099,"4301 West Markham Street, Little Rock, AR 72205-7102"
100,Unity Health White County Medical Center,C,72143,35.2506878,-91.6923333,6313.5789959815,"3214 East Race Avenue, Searcy, AR 72143-4847"
101,White River Medical Center,C,72501,35.7678771,-91.6342957,6309.7128174569,"1710 Harrison Street, Batesville, AR 72501-2197"
102,Arkansas Methodist Medical Center,D,72450,36.0525618,-90.4978107,6245.9064424934,"900 West Kingshighway, Paragould, AR 72450"
103,Baptist Health - Fort Smith,D,72901,35.3741136,-94.419774,6467.0062186459,"1001 Towson Avenue, Fort Smith, AR 72901"
104,CHI St. Vincent Infirmary Medical Center,D,72205,34.7504671,-92.3393722,6350.8877704046,"2 St. Vincent Circle, Little Rock, AR 72205-5499"
105,CHI St. Vincent Medical Center-North,D,72120,34.8129009,-92.208139,6343.3450716757,"2215 Wildwood Avenue, Sherwood, AR 72120"
106,North Arkansas Regional Medical Center,D,72601,36.2366395,-93.1085129,6391.2977067245,"620 North Main Street, Harrison, AR 72601-2994"
107,Unity Health - Newport,D,72112,35.608492,-91.2648093,6289.1438618116,"1205 McLain Street, Newport, AR 72112-3533"
108,Baptist Health Medical Center - Stuttgart,G,72160,34.5178455,-91.5582488,6306.8024298633,"1703 North Buerkle Road, Stuttgart, AR 72160-1905"
109,Baptist Health Medical Center-Hot Spring County,G,72104,34.3587893,-92.785668,6376.9610489927,"1001 Schneider Drive, Malvern, AR 72104-4828"
110,Forrest City Medical Center,G,72335,35.0397728,-90.7758426,6261.9871834185,"1601 New Castle Road, Forrest City, AR 72335"
111,Helena Regional Medical Center,G,72342,34.5102191,-90.6271793,6253.8062789331,"1801 Martin Luther King Jr Drive, Helena, AR 72342"
112,Mena Regional Health System,G,71953,34.5890564,-94.2216623,6458.1495252859,"311 North Morrow Street, Mena, AR 71953-2516"
113,BANNER GATEWAY MEDICAL CENTER,A,85234,33.3826926,-111.7209955,7461.7659641534,"1900 NORTH HIGLEY ROAD, GILBERT, AZ 85234"
114,Banner Goldfield Medical Center,A,85120,33.3943945,-111.5670965,7452.9198708775,"2050 West Southern Avenue, Apache Junction, AZ 85120"
115,Banner Ironwood Medical Center,A,85140,33.2144943,-111.5656332,7455.4734168522,"37000 N Gantzel Rd, Queen Creek, AZ 85140"
116,Deer Valley Medical Center,A,85027,33.6657269,-112.1161079,7479.7391084883,"19829 North 27th Avenue, Phoenix, AZ 85027-4002"
117,Kingman Regional Medical Center,A,86409,35.2203182,-114.0371188,7560.9723792146,"3269 Stockton Hill Road, Kingman, AZ 86409-3691"
118,Mayo Clinic Hospital,A,85054,33.6582437,-111.956235,7470.8817754555,"5777 EAST MAYO BLVD, PHOENIX, AZ 85054-4502"
119,Northwest Medical Center,A,85741,32.3202768,-111.0100752,7436.6416495481,"6200 North La Cholla Boulevard, Tucson, AZ 85741-3599"
120,Oro Valley Hospital,A,85755,32.42926,-110.949664,7431.6741991213,"1551 East Tangerine Road, Oro Valley, AZ 85755"
121,SHEA MEDICAL CENTER,A,85260,33.580069,-111.8851432,7468.0640871535,"9003 EAST SHEA BOULEVARD, SCOTTSDALE, AZ 85260-6771"
122,THOMPSON PEAK HOSPITAL,A,85255,33.6706949,-111.9220325,7468.7748175475,"7400 E. Thompson Peak Pkwy, SCOTTSDALE, AZ 85255"
123,Abrazo Arrowhead Campus,B,85308,33.6550895,-112.2015464,7484.6935913667,"18701 North 67th Avenue, Glendale, AZ 85308-5722"
124,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,B,85006,33.465137,-112.057972,7479.5073535628,"1111 EAST MCDOWELL RD, PHOENIX, AZ 85006-2666"
125,BANNER BAYWOOD MEDICAL CENTER,B,85206,33.4113555,-111.6874923,7459.4544008247,"6644 E. BAYWOOD AVE, MESA, AZ 85206-1797"
126,BANNER BOSWELL MEDICAL CENTER,B,85351,33.6042603,-112.2837994,7490.0841927942,"10401 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3004"
127,Banner Casa Grande Medical Center,B,85122,32.8807401,-111.7097455,7468.5061503296,"1800 East Florence Boulevard, Casa Grande, AZ 85122"
128,BANNER DEL E WEBB MEDICAL CENTER,B,85375,33.659653,-112.372831,7494.2293056542,"14502 WEST MEEKER BLVD, SUN CITY WEST, AZ 85375-5299"
129,BANNER DESERT MEDICAL CENTER,B,85202,33.3899841,-111.877013,7470.4477606473,"1400 SOUTH DOBSON ROAD, MESA, AZ 85202-9879"
130,BANNER ESTRELLA MEDICAL CENTER,B,85037,33.478176,-112.257442,7490.5263743383,"9201 WEST THOMAS ROAD, PHOENIX, AZ 85037-3332"
131,BANNER THUNDERBIRD MEDICAL CENTER,B,85306,33.6092024,-112.1795965,7484.160595444,"5555 WEST THUNDERBIRD ROAD, GLENDALE, AZ 85306-4696"
132,Banner University Medical Center-South,B,85713,32.1778717,-110.9295523,7434.0032565599,"2800 East Ajo Way, Tucson, AZ 85713-6289"
133,Canyon Vista Medical Center,B,85635,31.554586,-110.230876,7402.1637975987,"5700 East Highway 90, Sierra Vista, AZ 85635"
134,Carondelet St. Mary's Hospital,B,85745,32.228313,-110.9995908,7437.3178128883,"1601 West St Mary's Road, Tucson, AZ 85745-2682"
135,Dignity Health Arizona General Hospital - Mesa,B,85212,33.3509231,-111.6372866,7457.5161151552,"9130 East Elliot Road, Mesa, AZ 85212"
136,Flagstaff Medical Center,B,86001,35.20832,-111.643986,7429.9047996185,"1200 North Beaver Street, Flagstaff, AZ 86001-3198"
137,John C. Lincoln Medical Center,B,85020,33.5694587,-112.0708775,7478.6585221116,"250 East Dunlap Avenue, Phoenix, AZ 85020-2446"
138,Osborn Medical Center,B,85251,33.4886726,-111.9231494,7471.5700484135,"7400 EAST OSBORN ROAD, SCOTTSDALE, AZ 85251-6403"
139,St. Joseph's Hospital,B,85711,32.2265668,-110.855335,7429.0808038098,"350 North Wilmot Road, Tucson, AZ 85711-2678"
140,St. Joseph's Hospital & Medical Center,B,85013,33.4819191,-112.0793604,7480.4572541581,"350 West Thomas Road, Phoenix, AZ 85013-4496"
141,St. Joseph's Westgate Medical Center,B,85307,33.5420566,-112.2746731,7490.521471494,"7300 N. 99th Ave, Glendale, AZ 85307-3003"
142,Tucson Medical Center,B,85712,32.252903,-110.8780795,7430.0206911709,"5301 East Grant Road, Tucson, AZ 85712-2874"
143,Verde Valley Medical Center,B,86326,34.7357759,-112.0292561,7458.4713064178,"269 S Candy Lane, Cottonwood, AZ 86326-4170"
144,Abrazo Scottsdale Campus,C,85032,33.639414,-111.9973914,7473.4756873422,"3929 East Bell Road, Phoenix, AZ 85032-2196"
145,Abrazo West Campus,C,85395,33.462078,-112.352936,7496.1397438153,"13677 West McDowell Road, Goodyear, AZ 85395"
146,Banner University Medical Center-Tucson,C,85724,32.2409829,-110.9457686,7434.0607835617,"1501 N Campbell Ave, Tucson, AZ 85724"
147,Chandler Regional Medical Center,C,85224,33.2973867,-111.8746054,7471.6907814715,"1955 W. Frye Rd., Chandler, AZ 85224-4230"
148,Havasu Regional Medical Center,C,86403,34.4803821,-114.3388668,7590.2530148519,"101 Civic Center Lane, Lake Havasu City, AZ 86403-5683"
149,Mercy Gilbert Medical Center,C,85297,33.2868623,-111.7524572,7464.95692992,"3555 S Val Vista Drive, Gilbert, AZ 85297"
150,Mt. Graham Regional Medical Center,C,85546,32.822625,-109.734994,7357.0392810838,"1600 South 20th Avenue, Safford, AZ 85546-4097"
151,Valleywise Health,C,85008,33.4576589,-112.0261121,7477.8276713895,"2601 East Roosevelt Street, Phoenix, AZ 85008-4956"
152,Western Arizona Regional Medical Ctr,C,86442,35.1106768,-114.5550458,7591.1899956508,"2735 SILVER CREEK ROAD, Bullhead City, AZ 86442"
153,Yavapai Regional Medical Center - East Campus,C,86314,34.58822,-112.3309496,7477.4755553306,"7700 East Florentine Road, Prescott Valley, AZ 86314"
154,Yavapai Regional Medical Center - West Campus,C,86301,34.5596203,-112.4811881,7486.2477821661,"1003 Willow Creek Road, Prescott, AZ 86301-1668"
155,Abrazo Central Campus,D,85015,33.5247707,-112.1021957,7481.0937584793,"2000 West Bethany Home Road, Phoenix, AZ 85015-2443"
156,Florence Hospital,D,85132,33.073207,-111.4854392,7452.9962839549,"4545 North Hunt Highway, Florence, AZ 85132-6937"
157,Mountain Vista Medical Center,D,85209,33.3913915,-111.6111373,7455.4462996483,"1301 South Crismon Road, Mesa, AZ 85209"
158,Summit Healthcare Regional Medical Center,D,85901,34.2019458,-110.0191523,7354.436313981,"2200 East Show Low Lake Road, Show Low, AZ 85901-7800"
159,Tempe St. Luke's Hospital,D,85281,33.412361,-111.9406049,7473.6947580554,"1500 S. Mill Ave., Tempe, AZ 85281-6699"
160,Tuba City Regional Health Care Corporation,D,86045,36.1362562,-111.2397562,7393.4777651233,"167 North Main St., Tuba City, AZ 86045"
161,Valley View Medical Center,D,86426,35.0027485,-114.5962766,7595.3398021545,"5330 South Highway 95, Fort Mohave, AZ 86426-9225"
162,Yuma Regional Medical Center,D,85364,32.6823988,-114.634916,7637.1195148642,"2400 South Avenue A, Yuma, AZ 85364-7170"
163,Adventist Health - Bakersfield,A,93301,35.3833475,-119.0205429,7827.7829684579,"2615 Chester Avenue, Bakersfield, CA 93301-2006"
164,Adventist Health Glendale,A,91206,34.1503596,-118.2300566,7810.2623225566,"1509 Wilson Terrace, Glendale, CA 91206-4098"
165,Adventist Health Hanford,A,93230,36.3237872,-119.6664466,7841.8158676335,"115 Mall Drive, Hanford, CA 93230-3513"
166,Adventist Health Reedley,A,93654,36.6080787,-119.4517641,7824.2385162694,"372 W. Cypress Avenue, Reedley, CA 93654-2199"
167,Adventist Health Selma,A,93662,36.5676997,-119.5991582,7832.87803033,"1141 Rose Avenue, Selma, CA 93662"
168,Adventist Health St. Helena,A,94574,38.5425501,-122.4748268,7933.7326975683,"10 Woodland Road, St. Helena, CA 94574-9554"
169,Adventist Health Ukiah Valley,A,95482,39.1531894,-123.2030161,7954.2195129498,"275 Hospital Drive, Ukiah, CA 95482-4531"
170,Alhambra Hospital Medical Center,A,91801,34.090234,-118.1439896,7806.7438267443,"100 S. Raymond Avenue, Alhambra, CA 91801-3199"
171,Arroyo Grande Community Hospital,A,93420,35.1134961,-120.5904213,7917.7341289284,"345 S. Halcyon Road, Arroyo Grande, CA 93420-3899"
172,Barton Memorial Hospital,A,96150,38.911636,-119.9977995,7799.8655316342,"2170 South Avenue, South Lake Tahoe, CA 96150-7026"
173,Centinela Hospital Medical Center,A,90301,33.9507827,-118.3482572,7820.7193640196,"555 E. Hardy Street, Inglewood, CA 90301-4011"
174,Chino Valley Medical Center,A,91710,34.0255174,-117.6858572,7782.8758834904,"5451 Walnut Avenue, Chino, CA 91710-2672"
175,Community Hospital of the Monterey Peninsula,A,93940,36.5788637,-121.9131591,7953.6267927996,"23625 Holman Highway, Monterey, CA 93940"
176,Desert Valley Hospital,A,92395,34.4717272,-117.2977603,7752.9405515691,"16850 Bear Valley Road, Victorville, CA 92395"
177,Eisenhower Medical Center,A,92270,33.7629019,-116.40063,7716.9543776663,"39000 Bob Hope Drive, Rancho Mirage, CA 92270-3221"
178,El Camino Hospital,A,94040,37.3693389,-122.080472,7943.0603395962,"2500 Grant Road, Mountain View, CA 94040"
179,Encino Hospital Medical Center,A,91436,34.1575872,-118.4870689,7824.1804476421,"16237 Ventura Boulevard, Encino, CA 91436-2201"
180,Enloe Medical Center,A,95926,39.7421399,-121.8501891,7872.0471086138,"1531 Esplanade, Chico, CA 95926-3386"
181,French Hospital Medical Center,A,93401,35.2781709,-120.6511558,7917.3060153103,"1911 Johnson Avenue, San Luis Obispo, CA 93401-4131"
182,Garden Grove Hospital and Medical Center,A,92843,33.7749125,-117.9129403,7800.2537010675,"12601 Garden Grove Boulevard, Garden Grove, CA 92843"
183,Garfield Medical Center,A,91754,34.0678947,-118.1238043,7806.0803056594,"525 N. Garfield Avenue, Monterey Park, CA 91754-1205"
184,Goleta Valley Cottage Hospital,A,93111,34.4338579,-119.8103152,7890.5109062758,"351 S. Patterson Avenue, Goleta, CA 93111-2496"
185,Hoag Hospital Irvine,A,92618,33.6608946,-117.7722362,7794.7107921359,"16200 Sand Canyon Avenue, Irvine, CA 92618"
186,Hoag Memorial Hospital Presbyterian,A,92663,33.6254053,-117.9303047,7804.1252150335,"1 Hoag Drive, Newport Beach, CA 92663"
187,John Muir Medical Center Walnut Creek Campus,A,94598,37.9130871,-122.0408542,7927.6142323479,"1601 Ygnacio Valley Road, Walnut Creek, CA 94598-3194"
188,Kaiser Foundation Hospital - Antioch,A,94531,37.9508418,-121.7749286,7913.1479022267,"4501 Sand Creek Road, Antioch, CA 94531-8687"
189,Kaiser Foundation Hospital - Fremont,A,94538,37.5524244,-121.974401,7933.1253962224,"39400 Paseo Padre Parkway, Fremont, CA 94538-2310"
190,Kaiser Foundation Hospital - Fresno,A,93720,36.8423418,-119.7804757,7836.2638899541,"7300 N. Fresno Ave., Fresno, CA 93720-2941"
191,Kaiser Foundation Hospital - Manteca,A,95337,37.79803,-121.246197,7889.8798802669,"1777 W. Yosemite Avenue, Manteca, CA 95337-5130"
192,Kaiser Foundation Hospital - Modesto,A,95356,37.7065812,-121.0524993,7882.1491565899,"4601 Dale Road, Modesto, CA 95356-9718"
193,Kaiser Foundation Hospital - Redwood City,A,94063,37.4891185,-122.2251548,7947.5221703636,"1100 Veterans Boulevard, Redwood City, CA 94063-2037"
194,Kaiser Foundation Hospital - Roseville,A,95661,38.7474074,-121.2506572,7867.0303731794,"1600 Eureka Road, Roseville, CA 95661-3027"
195,Kaiser Foundation Hospital - San Francisco,A,94115,37.7823277,-122.4432896,7951.350428999,"2425 Geary Boulevard, San Francisco, CA 94115-3358"
196,Kaiser Foundation Hospital - San Jose,A,95119,37.2397615,-121.8002485,7931.8185528942,"250 Hospital Parkway, San Jose, CA 95119-1103"
197,Kaiser Foundation Hospital - San Rafael,A,94903,38.0043293,-122.5546467,7951.4157799899,"99 Montecillo Road, San Rafael, CA 94903-5114"
198,Kaiser Foundation Hospital - Santa Clara,A,95051,37.3358952,-121.99833,7939.6630373861,"700 Lawrence Expressway, Santa Clara, CA 95051-5173"
199,Kaiser Foundation Hospital - Santa Rosa,A,95403,38.47212,-122.7270141,7948.2000126488,"401 Bicentennial Way, Santa Rosa, CA 95403-2149"
200,Kaiser Foundation Hospital - South San Francisco,A,94080,37.6591974,-122.4393133,7954.2312464159,"1200 El Camino Real, South San Francisco, CA 94080-3208"
